1,50,30,0,0,0
2,49,18,76,0,0
3,72,52,51,41,35
4,50,4,0,0,0
5,76,19,26,80,6
6,66,67,51,84,71
7,39,18,29,83,49
8,88,2,0,0,0
9,63,19,0,0,0
10,28,11,77,8,31
11,32,78,38,31,44
12,63,31,10,68,30
13,88,70,35,2,0
14,71,70,77,34,78
15,38,8,15,90,0
16,6,22,63,0,0
17,29,2,38,0,0
18,15,59,0,0,0
19,8,39,51,34,89
20,75,31,48,70,71
21,10,71,0,0,0
22,74,15,0,0,0
23,44,15,0,0,0
24,51,0,0,0,0
25,19,65,50,67,0
26,48,5,88,71,67
27,30,39,6,31,0
28,13,0,0,0,0
29,58,0,0,0,0
30,6,0,0,0,0
31,63,48,0,0,0
32,18,15,70,2,0
33,64,6,0,0,0
70,83,82,18,35,38
35,63,79,8,0,0
36,58,55,44,72,47
37,28,0,0,0,0
38,49,16,55,10,0
39,76,65,2,0,0
40,70,51,9,76,13
41,71,28,10,15,11
42,74,83,76,0,0
43,15,0,0,0,0
44,26,83,35,0,0
45,19,67,48,78,72
46,45,89,59,9,25
47,31,2,15,67,0
48,34,60,0,0,0
49,39,33,48,19,46
50,2,0,0,0,0
51,30,58,55,35,31
52,15,59,4,0,0
53,30,64,78,0,0
54,31,32,34,0,0
55,37,71,72,55,0
56,30,54,31,22,0
57,21,15,0,0,0
58,31,70,0,0,0
59,50,58,71,25,35
60,68,54,2,83,0
61,48,73,22,38,43
62,56,0,0,0,0
63,77,76,83,0,0
64,90,11,31,0,0
65,58,0,0,0,0
66,52,48,78,76,0
67,18,15,0,0,0
68,70,64,31,84,42
69,48,4,50,0,0
70,40,39,59,89,0
71,34,19,0,0,0
72,71,57,4,88,22
73,59,72,0,0,0
74,67,38,47,18,0
75,78,60,49,15,71
76,58,71,83,15,67
77,28,18,78,0,0
78,63,4,0,0,0
79,32,0,0,0,0
80,58,2,31,1,46
81,71,39,0,0,0
82,13,0,0,0,0
83,43,6,18,19,71
84,51,43,11,28,18
85,48,51,0,0,0
86,18,52,83,88,15
87,33,70,0,0,0
88,84,49,82,35,15
89,83,13,50,27,0
90,15,0,0,0,0
91,18,33,0,0,0
92,31,63,0,0,0
93,50,39,51,83,0
94,14,0,0,0,0
95,39,76,71,2,0
96,69,31,15,8,21
97,35,31,70,11,72
98,77,34,60,78,38
99,35,48,0,0,0
100,76,32,35,13,0
101,45,32,44,79,49
102,43,87,45,11,8
103,84,0,0,0,0
104,15,29,72,0,0
105,17,34,76,30,6
106,11,0,0,0,0
107,11,6,0,0,0
108,89,15,31,0,0
109,19,31,2,26,82
110,34,71,48,2,35
111,4,31,43,13,59
112,30,60,16,14,15
113,18,0,0,0,0
114,60,55,78,0,0
115,15,63,4,78,83
116,35,69,75,61,0
117,31,18,0,0,0
118,34,49,0,0,0
119,87,0,0,0,0
120,35,72,83,67,0
121,10,27,43,83,11
122,29,1,90,0,0
123,18,76,38,58,34
124,13,49,58,35,51
125,10,39,0,0,0
126,71,70,0,0,0
127,51,38,18,76,78
128,70,59,71,55,72
129,34,2,0,0,0
130,50,11,10,72,44
131,51,18,64,49,2
132,34,31,0,0,0
133,74,43,76,89,67
134,44,0,0,0,0
135,76,57,67,6,58
136,34,24,66,0,0
137,4,34,0,0,0
138,2,15,51,83,13
139,5,16,38,18,13
140,67,47,20,71,0
141,10,30,15,28,0
142,49,51,0,0,0
143,21,37,13,18,35
144,10,18,35,31,0
145,37,48,0,0,0
146,65,4,31,13,0
147,57,55,2,66,0
148,55,39,1,0,0
149,49,5,70,43,16
